,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,am_pm
169,OKTA,Okta Inc,2021-12-01T21:00:00.000Z,AMC,-0.24,,,EST,-18000000,EQUITY,PM
170,VEEV,Veeva Systems Inc,2021-12-01T21:00:00.000Z,AMC,0.88,,,EST,-18000000,EQUITY,PM
171,NCNO,nCino Inc,2021-12-01T21:00:00.000Z,AMC,-0.06,,,EST,-18000000,EQUITY,PM
172,NEW,Puxin Ltd,2021-12-01T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
173,ASAN,Asana Inc,2021-12-02T21:00:00.000Z,AMC,-0.26,,,EST,-18000000,EQUITY,PM
174,ULTA,Ulta Beauty Inc,2021-12-02T21:00:00.000Z,AMC,2.46,,,EST,-18000000,EQUITY,PM
175,OLLI,Ollie's Bargain Outlet Holdings Inc,2021-12-02T21:00:00.000Z,AMC,0.47,,,EST,-18000000,EQUITY,PM
176,SWBI,Smith & Wesson Brands Inc,2021-12-02T21:00:00.000Z,AMC,1.29,,,EST,-18000000,EQUITY,PM
177,CM,Canadian Imperial Bank of Commerce,2021-12-02T06:00:00.000Z,TAS,2.78,,,EST,-18000000,EQUITY,AM
178,TD,Toronto-Dominion Bank,2021-12-02T06:30:00.000Z,TAS,1.56,,,EST,-18000000,EQUITY,AM
179,DG,Dollar General Corp,2021-12-02T13:30:00.000Z,BMO,2.01,,,EST,-18000000,EQUITY,PM
180,KR,Kroger Co,2021-12-02T13:30:00.000Z,BMO,0.66,,,EST,-18000000,EQUITY,PM
181,LITB,LightInTheBox Holding Co Ltd,2021-12-02T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
182,COO,Cooper Companies Inc,2021-12-02T16:15:00.000Z,TAS,3.37,,,EST,-18000000,EQUITY,PM
183,DOMO,Domo Inc,2021-12-02T21:00:00.000Z,AMC,-0.34,,,EST,-18000000,EQUITY,PM
184,DOCU,DocuSign Inc,2021-12-02T21:00:00.000Z,AMC,0.46,,,EST,-18000000,EQUITY,PM
185,EXPR,Express Inc,2021-12-02T13:30:00.000Z,BMO,0.02,,,EST,-18000000,EQUITY,PM
186,MEI,Methode Electronics Inc,2021-12-02T13:30:00.000Z,BMO,0.69,,,EST,-18000000,EQUITY,PM
187,EH,EHang Holdings Ltd,2021-12-02T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
188,LEE,Lee Enterprises Inc,2021-12-02T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
189,GMS,GMS Inc,2021-12-02T13:30:00.000Z,BMO,1.6,,,EST,-18000000,EQUITY,PM
190,GWRE,Guidewire Software Inc,2021-12-02T21:00:00.000Z,AMC,-0.25,,,EST,-18000000,EQUITY,PM
191,ZUMZ,Zumiez Inc,2021-12-02T21:00:00.000Z,AMC,1.09,,,EST,-18000000,EQUITY,PM
192,VERU,Veru Inc,2021-12-02T13:30:00.000Z,BMO,-0.09,,,EST,-18000000,EQUITY,PM
193,KIRK,Kirkland's Inc,2021-12-02T13:30:00.000Z,BMO,0.56,,,EST,-18000000,EQUITY,PM
194,SMAR,Smartsheet Inc,2021-12-02T21:00:00.000Z,AMC,-0.1,,,EST,-18000000,EQUITY,PM
195,YEXT,Yext Inc,2021-12-02T21:00:00.000Z,AMC,-0.07,,,EST,-18000000,EQUITY,PM
196,TLYS,Tillys Inc,2021-12-02T21:00:00.000Z,AMC,0.33,,,EST,-18000000,EQUITY,PM
197,OOMA,Ooma Inc,2021-12-02T21:00:00.000Z,AMC,0.09,,,EST,-18000000,EQUITY,PM
198,VRNT,Verint Systems Inc,2021-12-02T21:00:00.000Z,AMC,0.53,,,EST,-18000000,EQUITY,PM
199,SIG,Signet Jewelers Ltd,2021-12-02T07:00:00.000Z,TAS,0.72,,,EST,-18000000,EQUITY,AM
200,MULN,Mullen Automotive Inc,2021-12-03T21:00:00.000Z,AMC,0.16,,,EST,-18000000,EQUITY,PM
201,NOBDF,North Bud Farms Inc,2021-12-03T19:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
202,BIG,Big Lots Inc,2021-12-03T13:30:00.000Z,BMO,-0.16,,,EST,-18000000,EQUITY,PM
203,BMO,Bank of Montreal,2021-12-03T06:00:00.000Z,TAS,2.54,,,EST,-18000000,EQUITY,AM
204,CBWBF,Canadian Western Bank,2021-12-03T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
205,CCM,Concord Medical Services Holdings Ltd,2021-12-03T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY,PM
206,DSL,DoubleLine Income Solutions Fund,2021-12-03T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY,AM
207,HUGE,FSD Pharma Inc,2021-12-03T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
208,GCO,Genesco Inc,2021-12-03T13:30:00.000Z,BMO,1.29,,,EST,-18000000,EQUITY,PM
209,HIBB,Hibbett Inc,2021-12-03T13:30:00.000Z,BMO,1.53,,,EST,-18000000,EQUITY,PM
210,HSCHF,H-Source Holdings Ltd,2021-12-03T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY,PM
211,HSCHF,H-Source Holdings Ltd,2021-12-03T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY,PM
212,HSCHF,H-Source Holdings Ltd,2021-12-03T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY,PM
213,HSCHF,H-Source Holdings Ltd,2021-12-03T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY,PM
